MOV_DEVOLUCAO_105	MOV_DECURSO_DE_PRAZO_1051	MOV_DISPONIBILIZACAO_NO_DIARIO_DA_JUSTICA_ELETRONICO_1061	MOV_DESPACHO_11009	MOV_ATO_ORDINATORIO_11383	MOV_RECEBIMENTO_115	MOV_PROTOCOLO_DE_PETICAO_118	MOV_RETIFICACAO_DE_MOVIMENTO_11983	MOV_PAUTA_12103	MOV_INTIMACAO_12263	MOV_REMESSA_123	MOV_DEVOLVIDOS_OS_AUTOS_12315	MOV_RECEBIMENTO_132	MOV_APENSAMENTO_135	MOV_JULGAMENTO_193	MOV_DECISAO_3	MOV_REDISTRIBUICAO_36	MOV_ENTREGA_EM_CARGA_VISTA_493	MOV_CONCLUSAO_51	MOV_EXPEDICAO_DE_DOCUMENTO_60	MOV_JUNTADA_67	MOV_TRANSITO_EM_JULGADO_848	MOV_DESARQUIVAMENTO_893	MOV_PUBLICACAO_92	MOV_RECEBIMENTO_977	MOV_REMESSA_982	TEMPO_PROCESSUAL_TOTAL_DIAS	MOVEMENTS_COUNT	TOTAL_MAGISTRATE	TOTAL_OFFICIAL	CASE:COURT:CODE	PROCESSO_DIGITAL	TOTAL_ASSUNTOS	PENDENTES_CRIMINAL_2015	PENDENTES_CRIMINAL_2016	PENDENTES_CRIMINAL_2017	PENDENTES_CRIMINAL_2018	PENDENTES_CRIMINAL_2019	PENDENTES_NAO_CRIMINAL_2015	PENDENTES_NAO_CRIMINAL_2016	PENDENTES_NAO_CRIMINAL_2017	PENDENTES_NAO_CRIMINAL_2018	PENDENTES_NAO_CRIMINAL_2019	PENDENTES_NAO_CRIMINAL_2020	RECURSOS_INTERNOS_CONHECIMENTO_2018	ESTOQUE	TAXA_DE_CONGESTIONAMENTO_LIQUIDA	TAXA_DE_CONGESTIONAMENTO_TOTAL	TIPO_DESCONHECIDO	TIPO_UJ1	TIPO_UJ2	AL	CE	MA	PB	PE	PI	RN	SE	CLAS_OUTRO_CLASSE_PROCESSUAL	CLA_ACAO_PENAL_ELEITORAL_11528	CLA_DIREITOS_POLITICOS_12552	CLA_OUTROS_PROCEDIMENTOS_214	CLA_PROCEDIMENTOS_ADMINISTRATIVOS_DA_JUSTICA_ELEITORAL_11540	CLA_PROCEDIMENTOS_INVESTIGATORIOS_277	CLA_PROCEDIMENTOS_RELATIVOS_A_PARTIDOS_POLITICOS_11534	CLA_PROCEDIMENTOS_RELATIVOS_A_REALIZACAO_DE_ELEICAO_11529	CLA_PROCESSO_ADMINISTRATIVO_1298	ASSU_ADMINISTRACAO_DA_JUSTICA_ELEITORAL_11557	ASSU_CRIMES_ELEITORAIS_11429	ASSU_ELEICOES_11583	ASSU_MEIOS_PROCESSUAIS_12064	ASSU_PARTIDOS_POLITICOS_11747	ASSU_REQUERIMENTO_11778	CLAS_OUTRO_ASSUNTO_PROCESSUAL	CLAS_DESCONHECIDO	CLAS_GAB2oS___GABINETE_DE_DESEMBARGADOR_OU_DE_MINISTRO_EXCETO_PRESIDENCIA_VICE_PRESIDENCIA_OU_CORREGEDORIA	CLAS_OUTRO_CLASSIFICACAO_DA_UNIDADE	CLAS_TUR___TURMAS_2o_GRAU_OU_TRIBUNAIS_SUPERIORES	CLAS_VP___GABINETE_DA_VICE_PRESIDENCIA	CLAS_ZE___ZONA_ELEITORAL
0.0	0.0	0.0	0.25	0.85	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.69565	1.0	0.5	0.0	1.0	0.25	0.2	0.0	0.05263	0.0	0.5	1.0	0.0	0.0	2979	0.42453	0.27273	0.42424	0.29303	1.0	0.0	0.0	0.0	0.0	0.0	0.10345	0.0	0.0	0.00546	0.00952	0.8934	0.98165	0.0	0.95575	0.4538	0.42776	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
0.0	1.0	0.0	0.125	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04348	0.0	0.5	0.0	0.0	0.0	0.2	0.0	0.15789	1.0	0.5	0.0	0.0	0.0	3093	0.11321	0.18182	0.10101	0.29143	1.0	0.0	0.0	0.16667	0.19608	0.03723	0.10345	0.0	0.05938	0.10232	0.14286	0.20305	0.08257	0.0	0.15929	0.2687	0.23384	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.33333	1.0	1.0	0.0	1.0	0.0	0.0	3133	1.0	1.0	1.0	0.29296	1.0	0.0	0.01671	0.09259	0.05882	0.02128	0.17241	0.26891	0.0875	0.17872	0.30794	0.90863	0.88073	0.0	0.86726	0.4066	0.37831	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.5	0.2	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.1	0.0	0.10526	0.0	0.5	0.0	0.0	0.0	2974	0.09434	0.45455	0.05051	0.29143	1.0	0.0	0.0	0.16667	0.19608	0.03723	0.10345	0.0	0.05938	0.10232	0.14286	0.20305	0.08257	0.0	0.15929	0.2687	0.23384	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.5	0.0	0.0	0.0	0.2	0.0	0.26316	0.0	0.5	0.0	0.0	0.0	2978	0.13208	0.27273	0.11111	0.29143	1.0	0.0	0.0	0.16667	0.19608	0.03723	0.10345	0.0	0.05938	0.10232	0.14286	0.20305	0.08257	0.0	0.15929	0.2687	0.23384	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.125	0.1	0.0	1.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	3050	0.0283	0.09091	0.0202	0.29167	1.0	0.5	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.5	0.05	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.5	0.0	0.0	0.25	0.4	0.0	0.21053	0.0	1.0	0.0	0.0	0.0	3001	0.16981	0.45455	0.13131	0.50349	1.0	0.0	0.0	0.01852	0.01961	0.01064	0.03448	0.0	0.05156	0.0573	0.06667	0.05584	0.0367	0.0	0.07965	0.2687	0.25395	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.5	0.0	0.0	0.0	0.2	0.0	0.10526	0.0	0.5	0.0	0.0	0.0	3001	0.03774	0.09091	0.0303	0.50349	1.0	0.0	0.0	0.01852	0.01961	0.01064	0.03448	0.0	0.05156	0.0573	0.06667	0.05584	0.0367	0.0	0.07965	0.2687	0.25395	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.125	0.05	0.0	0.0	0.0	0.0	1.0	0.1	0.0	0.04348	0.0	0.5	0.0	0.0	0.0	0.1	0.0	0.21053	0.0	1.0	0.0	0.0	0.0	2877	0.09434	0.18182	0.08081	0.29143	1.0	0.0	0.0	0.16667	0.19608	0.03723	0.10345	0.0	0.05938	0.10232	0.14286	0.20305	0.08257	0.0	0.15929	0.2687	0.23384	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.125	0.05	0.0	1.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2987	0.01887	0.09091	0.0101	0.29167	1.0	0.5	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.125	0.05	0.0	1.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2961	0.01887	0.09091	0.0101	0.29167	1.0	0.5	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.125	0.05	0.0	1.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2968	0.01887	0.09091	0.0101	0.29167	1.0	0.0	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.125	0.05	0.0	1.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2968	0.01887	0.09091	0.0101	0.29167	1.0	0.0	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.25	0.15	0.0	1.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2982	0.09434	0.18182	0.08081	0.29167	1.0	0.0	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.125	0.05	0.0	1.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2982	0.01887	0.09091	0.0101	0.29167	1.0	0.0	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	1.0	0.0	0.25	0.2	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.5	0.0	0.0	0.0	0.1	0.0	0.10526	0.0	0.5	0.0	0.0	0.0	2856	0.09434	0.27273	0.07071	0.29143	1.0	0.0	0.0	0.16667	0.19608	0.03723	0.10345	0.0	0.05938	0.10232	0.14286	0.20305	0.08257	0.0	0.15929	0.2687	0.23384	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2856	0.0	0.09091	0.0	0.29143	1.0	0.0	0.0	0.16667	0.19608	0.03723	0.10345	0.0	0.05938	0.10232	0.14286	0.20305	0.08257	0.0	0.15929	0.2687	0.23384	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.125	0.1	0.0	1.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05263	0.0	0.5	0.0	0.0	0.0	2934	0.03774	0.09091	0.0303	0.29167	1.0	0.0	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.125	0.05	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.05263	0.0	1.0	0.0	0.0	0.0	2929	0.04717	0.18182	0.0303	0.29167	1.0	0.0	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.5	0.0	1.0	0.9	0.0	0.73684	1.0	0.0	1.0	1.0	0.0	2698	1.0	1.0	1.0	0.29294	1.0	0.0	0.01671	0.14815	0.01961	0.0266	0.2069	0.31513	0.125	0.20191	0.34286	0.94924	0.83486	0.0	0.83186	0.3686	0.3385	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	1.0	0.55	0.0	0.0	1.0	0.0	0.0	0.4	0.0	1.0	0.0	0.5	0.0	0.0	0.5	0.6	0.0	0.31579	0.0	0.0	1.0	0.0	0.0	2674	0.71698	1.0	0.65657	0.29294	1.0	0.0	0.01671	0.14815	0.01961	0.0266	0.2069	0.31513	0.125	0.20191	0.34286	0.94924	0.83486	0.0	0.83186	0.3686	0.3385	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2913	0.0	0.09091	0.0	0.29167	1.0	0.0	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.375	0.05	0.0	1.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2925	0.03774	0.27273	0.0101	0.29167	1.0	0.0	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.125	0.05	0.0	1.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2914	0.01887	0.09091	0.0101	0.29167	1.0	0.0	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2913	0.0	0.09091	0.0	0.29167	1.0	0.0	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2939	0.0	0.09091	0.0	0.29167	1.0	0.0	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2939	0.0	0.09091	0.0	0.29167	1.0	0.0	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.125	0.05	0.0	1.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2925	0.01887	0.09091	0.0101	0.29167	1.0	0.0	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.125	0.05	0.0	1.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2946	0.01887	0.09091	0.0101	0.29167	1.0	0.0	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2913	0.0	0.09091	0.0	0.29167	1.0	0.0	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2913	0.0	0.09091	0.0	0.29167	1.0	0.0	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.125	0.1	0.0	1.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2946	0.0283	0.09091	0.0202	0.29167	1.0	0.0	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.0	0.05	0.0	1.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2913	0.01887	0.09091	0.0101	0.29167	1.0	0.0	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2925	0.0	0.09091	0.0	0.29167	1.0	0.0	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2939	0.0	0.09091	0.0	0.29167	1.0	0.0	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.04348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	2925	0.0	0.09091	0.0	0.29167	1.0	0.0	0.0	0.11111	0.11765	0.02128	0.0	0.0	0.09844	0.39018	0.19365	0.19289	0.00917	0.0	0.0177	0.0465	0.00105	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
