min_pts	weight_clus	meas_perc	k	n	min_perc	max_perc	eps	Fit	ARI	Vm
1	0.0	0.3	3	1	0.0	1.0	0.9	0.7947	0.7798	0.8566
1	0.0	0.3	3	1	0.1	0.9	0.3	1.3426	0.6674	0.7959
1	0.0	0.3	3	1	0.1	0.9	0.6	0.7947	0.7798	0.8566
1	0.0	0.3	3	1	0.1	0.9	0.9	0.7947	0.7798	0.8566
1	0.0	0.3	3	1	0.1	1.0	0.3	1.4495	0.6009	0.762
1	0.0	0.3	3	1	0.1	1.0	0.6	0.7947	0.7798	0.8566
1	0.0	0.3	3	1	0.1	1.0	0.9	0.7947	0.7798	0.8566
1	0.0	0.3	3	2	0.0	0.9	0.3	6.2422	0.0031	0.4882
1	0.0	0.3	3	2	0.0	0.9	0.6	6.1857	0.0077	0.4925
1	0.0	0.3	3	2	0.0	0.9	0.9	6.1495	0.0122	0.4959
1	0.0	0.3	3	2	0.0	1.0	0.3	6.2422	0.0031	0.4882
1	0.0	0.3	3	2	0.0	1.0	0.6	6.1857	0.0077	0.4925
1	0.0	0.3	3	2	0.0	1.0	0.9	6.1495	0.0122	0.4959
1	0.0	0.3	3	2	0.1	0.9	0.3	6.1804	0.0036	0.4867
1	0.0	0.3	3	2	0.1	0.9	0.6	6.1018	0.009	0.4918
1	0.0	0.3	3	2	0.1	0.9	0.9	5.9162	0.0227	0.501
1	0.0	0.3	3	2	0.1	1.0	0.3	6.1804	0.0036	0.4867
1	0.0	0.3	3	2	0.1	1.0	0.6	6.1018	0.009	0.4918
1	0.0	0.3	3	2	0.1	1.0	0.9	5.9162	0.0227	0.501
1	0.0	0.4	2	1	0.0	0.9	0.3	1.4343	0.6674	0.7959
1	0.0	0.4	2	1	0.0	0.9	0.6	0.9067	0.7798	0.8566
1	0.0	0.4	2	1	0.0	0.9	0.9	0.9067	0.7798	0.8566
1	0.0	0.4	2	1	0.0	1.0	0.3	1.5343	0.6009	0.762
1	0.0	0.4	2	1	0.0	1.0	0.6	0.9067	0.7798	0.8566
1	0.0	0.4	2	1	0.0	1.0	0.9	0.9067	0.7798	0.8566
1	0.0	0.4	2	1	0.1	0.9	0.3	1.4343	0.6674	0.7959
1	0.0	0.4	2	1	0.1	0.9	0.6	0.9067	0.7798	0.8566
1	0.0	0.4	2	1	0.1	0.9	0.9	0.9067	0.7798	0.8566
1	0.0	0.4	2	1	0.1	1.0	0.3	1.5343	0.6009	0.762
1	0.0	0.4	2	1	0.1	1.0	0.6	0.9067	0.7798	0.8566
1	0.0	0.4	2	1	0.1	1.0	0.9	0.9067	0.7798	0.8566
1	0.0	0.4	2	2	0.0	0.9	0.3	6.7084	0.0031	0.4882
1	0.0	0.4	2	2	0.0	0.9	0.6	6.6784	0.0077	0.4925
1	0.0	0.4	2	2	0.0	0.9	0.9	6.6578	0.0122	0.4959
1	0.0	0.4	2	2	0.0	1.0	0.3	6.7084	0.0031	0.4882
1	0.0	0.4	2	2	0.0	1.0	0.6	6.6784	0.0077	0.4925
1	0.0	0.4	2	2	0.0	1.0	0.9	6.6578	0.0122	0.4959
1	0.0	0.4	2	2	0.1	0.9	0.3	6.6467	0.0036	0.4867
1	0.0	0.4	2	2	0.1	0.9	0.6	6.6022	0.009	0.4918
1	0.0	0.4	2	2	0.1	0.9	0.9	6.4329	0.0227	0.501
1	0.0	0.4	2	2	0.1	1.0	0.3	6.6467	0.0036	0.4867
1	0.0	0.4	2	2	0.1	1.0	0.6	6.6022	0.009	0.4918
1	0.0	0.4	2	2	0.1	1.0	0.9	6.4329	0.0227	0.501
1	0.0	0.4	3	1	0.0	0.9	0.3	1.3426	0.6674	0.7959
1	0.0	0.4	3	1	0.0	0.9	0.6	0.7947	0.7798	0.8566
1	0.0	0.4	3	1	0.0	0.9	0.9	0.7947	0.7798	0.8566
1	0.0	0.4	3	1	0.0	1.0	0.3	1.4495	0.6009	0.762
1	0.0	0.4	3	1	0.0	1.0	0.6	0.7947	0.7798	0.8566
1	0.0	0.4	3	1	0.0	1.0	0.9	0.7947	0.7798	0.8566
1	0.0	0.4	3	1	0.1	0.9	0.3	1.3426	0.6674	0.7959
1	0.0	0.4	3	1	0.1	0.9	0.6	0.7947	0.7798	0.8566
1	0.0	0.4	3	1	0.1	0.9	0.9	0.7947	0.7798	0.8566
1	0.0	0.4	3	1	0.1	1.0	0.3	1.4495	0.6009	0.762
1	0.0	0.4	3	1	0.1	1.0	0.6	0.7947	0.7798	0.8566
1	0.0	0.4	3	1	0.1	1.0	0.9	0.7947	0.7798	0.8566
1	0.0	0.4	3	2	0.0	0.9	0.3	6.2422	0.0031	0.4882
1	0.0	0.4	3	2	0.0	0.9	0.6	6.1857	0.0077	0.4925
1	0.0	0.4	3	2	0.0	0.9	0.9	6.1495	0.0122	0.4959
1	0.0	0.4	3	2	0.0	1.0	0.3	6.2422	0.0031	0.4882
1	0.0	0.4	3	2	0.0	1.0	0.6	6.1857	0.0077	0.4925
1	0.0	0.4	3	2	0.0	1.0	0.9	6.1495	0.0122	0.4959
1	0.0	0.4	3	2	0.1	0.9	0.3	6.1804	0.0036	0.4867
1	0.0	0.4	3	2	0.1	0.9	0.6	6.1018	0.009	0.4918
1	0.0	0.4	3	2	0.1	0.9	0.9	5.9162	0.0227	0.501
1	0.0	0.4	3	2	0.1	1.0	0.3	6.1804	0.0036	0.4867
1	0.0	0.4	3	2	0.1	1.0	0.6	6.1018	0.009	0.4918
1	0.0	0.4	3	2	0.1	1.0	0.9	5.9162	0.0227	0.501
1	0.01	0.2	2	1	0.0	0.9	0.3	1.2643	0.6674	0.7959
1	0.01	0.2	2	1	0.0	0.9	0.6	0.8367	0.7798	0.8566
1	0.01	0.2	2	1	0.0	0.9	0.9	0.8367	0.7798	0.8566
1	0.01	0.2	2	1	0.0	1.0	0.3	1.3343	0.6009	0.762
1	0.01	0.2	2	1	0.0	1.0	0.6	0.8367	0.7798	0.8566
1	0.01	0.2	2	1	0.0	1.0	0.9	0.8367	0.7798	0.8566
1	0.01	0.2	2	1	0.1	0.9	0.3	1.2643	0.6674	0.7959
1	0.01	0.2	2	1	0.1	0.9	0.6	0.8367	0.7798	0.8566
1	0.01	0.2	2	1	0.1	0.9	0.9	0.8367	0.7798	0.8566
1	0.01	0.2	2	1	0.1	1.0	0.3	1.3343	0.6009	0.762
1	0.01	0.2	2	1	0.1	1.0	0.6	0.8367	0.7798	0.8566
1	0.01	0.2	2	1	0.1	1.0	0.9	0.8367	0.7798	0.8566
1	0.01	0.2	2	2	0.0	0.9	0.3	5.2884	0.0031	0.4882
1	0.01	0.2	2	2	0.0	0.9	0.6	5.3184	0.0077	0.4925
1	0.01	0.2	2	2	0.0	0.9	0.9	5.3378	0.0122	0.4959
1	0.01	0.2	2	2	0.0	1.0	0.3	5.2884	0.0031	0.4882
1	0.01	0.2	2	2	0.0	1.0	0.6	5.3184	0.0077	0.4925
1	0.01	0.2	2	2	0.0	1.0	0.9	5.3378	0.0122	0.4959
1	0.01	0.2	2	2	0.1	0.9	0.3	5.2467	0.0036	0.4867
1	0.01	0.2	2	2	0.1	0.9	0.6	5.2722	0.009	0.4918
1	0.01	0.2	2	2	0.1	0.9	0.9	5.2029	0.0227	0.501
1	0.01	0.2	2	2	0.1	1.0	0.3	5.2467	0.0036	0.4867
1	0.01	0.2	2	2	0.1	1.0	0.6	5.2722	0.009	0.4918
1	0.01	0.2	2	2	0.1	1.0	0.9	5.2029	0.0227	0.501
1	0.01	0.2	3	1	0.0	0.9	0.3	1.1726	0.6674	0.7959
1	0.01	0.2	3	1	0.0	0.9	0.6	0.7247	0.7798	0.8566
1	0.01	0.2	3	1	0.0	0.9	0.9	0.7247	0.7798	0.8566
1	0.01	0.2	3	1	0.0	1.0	0.3	1.2495	0.6009	0.762
1	0.01	0.2	3	1	0.0	1.0	0.6	0.7247	0.7798	0.8566
1	0.01	0.2	3	1	0.0	1.0	0.9	0.7247	0.7798	0.8566
1	0.01	0.2	3	1	0.1	0.9	0.3	1.1726	0.6674	0.7959
1	0.01	0.2	3	1	0.1	0.9	0.6	0.7247	0.7798	0.8566
1	0.01	0.2	3	1	0.1	0.9	0.9	0.7247	0.7798	0.8566
1	0.01	0.2	3	1	0.1	1.0	0.3	1.2495	0.6009	0.762
1	0.01	0.2	3	1	0.1	1.0	0.6	0.7247	0.7798	0.8566
1	0.01	0.2	3	1	0.1	1.0	0.9	0.7247	0.7798	0.8566
1	0.01	0.2	3	2	0.0	0.9	0.3	4.8222	0.0031	0.4882
1	0.01	0.2	3	2	0.0	0.9	0.6	4.8257	0.0077	0.4925
1	0.01	0.2	3	2	0.0	0.9	0.9	4.8295	0.0122	0.4959
1	0.01	0.2	3	2	0.0	1.0	0.3	4.8222	0.0031	0.4882
1	0.01	0.2	3	2	0.0	1.0	0.6	4.8257	0.0077	0.4925
1	0.01	0.2	3	2	0.0	1.0	0.9	4.8295	0.0122	0.4959
1	0.01	0.2	3	2	0.1	0.9	0.3	4.7804	0.0036	0.4867
1	0.01	0.2	3	2	0.1	0.9	0.6	4.7718	0.009	0.4918
1	0.01	0.2	3	2	0.1	0.9	0.9	4.6862	0.0227	0.501
1	0.01	0.2	3	2	0.1	1.0	0.3	4.7804	0.0036	0.4867
1	0.01	0.2	3	2	0.1	1.0	0.6	4.7718	0.009	0.4918
1	0.01	0.2	3	2	0.1	1.0	0.9	4.6862	0.0227	0.501
1	0.01	0.3	2	1	0.0	0.9	0.3	1.2643	0.6674	0.7959
1	0.01	0.3	2	1	0.0	0.9	0.6	0.8367	0.7798	0.8566
1	0.01	0.3	2	1	0.0	0.9	0.9	0.8367	0.7798	0.8566
1	0.01	0.3	2	1	0.0	1.0	0.3	1.3343	0.6009	0.762
